NbrTotalDeCollection, AverageWeeksWithoutExchange, AverageWeeksWithExchange
338,431,171
339,437,172
340,440,173
341,438,173
342,441,173
343,437,174
344,448,175
345,445,175
346,440,175
347,447,176
348,454,176
349,448,177
350,454,177
351,456,178
352,453,179
353,453,179
354,458,180
355,458,180
356,458,181
357,465,181
358,462,181
359,459,182
360,464,182
361,471,183
362,467,184
363,472,184
364,481,184
365,474,185
366,471,186
367,480,186
368,482,187
369,474,187
370,482,188
371,479,188
372,484,189
373,487,190
374,483,190
375,492,190
376,497,191
377,489,191
378,491,192
379,491,193
380,498,193
381,497,193
382,496,194
383,503,194
384,501,194
385,500,195
386,501,196
387,505,196
388,510,197
389,510,198
390,511,198
391,510,199
392,507,200
393,516,200
394,515,199
395,516,200
396,516,201
397,525,202
398,527,202
399,524,203
400,528,203
401,532,204
402,526,204
403,529,205
404,529,205
405,537,205
406,533,206
407,537,207
408,537,207
409,538,208
410,540,208
411,537,209
412,545,210
413,545,210
414,542,210
415,550,211
416,550,211
417,550,212
418,550,213
419,559,213
420,561,214
421,562,214
422,561,214
423,557,215
424,561,215
425,563,216
426,556,216
427,568,217
428,568,218
429,567,218
430,573,219
431,571,219
432,577,220
433,574,220
434,582,221
435,580,221
436,580,222
437,588,222
438,586,223
439,586,223
440,585,224
441,584,224
442,585,225
443,592,225
444,596,226
445,602,227
446,597,227
447,598,227
448,603,228
449,603,228
450,605,229
451,602,229
452,605,230
453,605,231
454,613,231
455,606,231
456,611,231
457,612,232
458,614,233
459,609,234
460,617,234
461,620,234
462,616,234
463,623,235
464,619,236
465,622,236
466,628,237
467,631,237
468,628,238
469,628,238
470,631,239
471,637,239
472,636,240
473,633,241
474,636,241
475,640,241
476,638,242
477,647,243
478,650,243
479,648,244
480,653,244
481,644,244
482,646,245
483,650,245
484,653,246
485,652,247
486,670,247
487,659,248
488,659,248
489,669,248
490,665,249
491,672,250
492,661,250
493,671,251
494,661,251
495,668,252
496,683,252
497,671,253
498,672,253
499,677,254
500,677,255
